filename,survey,longitude,latitude,area,area_pix,antarctic_scallop-antarctic_scallop,barnacles-bathylasmatidae,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-antipatharia,octocorals_bottle_brush_simple-gorgonacea,brachiopods-brachiopoda,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,anemones_colonial-zoantharia,octocorals_branching_bushy-alcyonacea,stony_corals_solitary-scleractinia,octocorals_seafan_fern_simple-antipatharia,stony_corals_colonial-scleractinia,octocorals_seafan_flexible-alcyonacea
PS96_106_0009__PS96_106-2_2016-01-31_0093.jpg,PS96,-17.8927,-72.6076,,14155776.0,0,0,0,1,7,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
PS96_106_0012__PS96_106-2_2016-01-31_0028.jpg,PS96,-17.8786,-72.6079,,14155776.0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_010_0006__PS96_010-3_2016-01-01_4274.jpg,PS96,-26.0682,-74.9509,2.6835862453681423,14155776.0,0,0,0,1,10,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
PS96_090_0019__PS96_090-4_2016-01-29_1577.jpg,PS96,-17.0414,-72.4363,,14155776.0,0,0,0,1,6,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
PS96_106_0001__PS96_106-2_2016-01-31_0127.jpg,PS96,-17.8999,-72.6076,,14155776.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_001_0007__PS96_001-4_2015-12-23_3426.jpg,PS96,-11.1139,-70.888,4.117292961303673,14155776.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_001_0017__PS96_001-4_2015-12-23_3411.jpg,PS96,-11.1093,-70.8867,3.3103633708430706,14155776.0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0002__PS96_007-1_2015-12-29_3725.jpg,PS96,-26.9725,-74.66,1.71330845785912,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PS96_007_0003__PS96_007-1_2015-12-29_3697.jpg,PS96,-26.9653,-74.6588,1.8615606185317684,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0005__PS96_007-1_2015-12-29_3638.jpg,PS96,-26.949,-74.6565,1.892119218246309,14155776.0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
