cellID,bryozoans_hard_branching-bryozoans,bryozoans_hard_encrusting-bryozoans,bryozoans_hard_fenestrate-bryozoans,bryozoans_hard_massive-bryozoans,bryozoans_soft_dendroid-bryozoans,bryozoans_soft_foliaceous-bryozoans,hydrocorals_branching-stylasterids,sponges_crust_creeping-porifera,sponges_crust_encrusting-porifera,sponges_cup_barrel-porifera,sponges_cup_cup_complete-porifera,sponges_cup_cup_disc-porifera,sponges_cup_tube_chimney-porifera,sponges_erect_1d-porifera,sponges_erect_2d-porifera,sponges_erect_3d-porifera,sponges_erect_stalked-porifera,sponges_massive_cryptic-porifera,sponges_massive_globular-porifera,sponges_massive_simple-porifera,basket_snake_stars-euryalida,polychaete-serpulidae,crinoid_stalked-crinoid_stalked,urchin_regular_pencil-cidaroida,barnacles-bathylasmatidae,brachiopods-brachiopoda,antarctic_scallop-antarctic_scallop,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-gorgonacea,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,stony_corals_solitary-scleractinia,octocorals_whip-gorgonacea,octocorals_whip-pennatulacea,octocorals_whip_simple_umbellula-pennatulacea,anemones_colonial-zoantharia,octocorals_bottle_brush_complex-antipatharia,ascidians_stalked_colonial-ascidiacea,ascidians_stalked_solitary-ascidiacea,ascidians_unstalked_colonial-ascidiacea,ascidians_unstalked_solitary-ascidiacea,octocorals_whip-alcyonacea,anemones_colonial-corallimorpharia,octocorals_seafan_fern_simple-antipatharia,octocorals_branching_bushy-antipatharia,octocorals_seafan_fern_complex-antipatharia,octocorals_bottle_brush_simple-antipatharia
45660624,0.0,0.0,0.0,0.0,0.0,0.23148148148148145,0.0,0.0,0.23148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012727522587061975,0.24191918329650614,0.0,0.04928855042235984,0.0,0.0,0.0,0.0,0.7263444926097931,0.04251490182827154,0.0,5.679199638740407,0.0,0.0,0.0,0.49168329397809507,0.09069370472087537,0.20036214664307714,0.01649420101988699,3.709881061249911,0.05713289531918135,0.0,0.08865117870007248,0.0,0.031085487599128606,0.9746587935117903,0.26757625851229155,0.4737664371704528,0.5802839292729518,0.0,0.0,0.0,0.0,0.0
45660860,0.0,0.0,0.0,0.0,0.23148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04889490975830702,0.0,0.0,0.3008146915952881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0380387446909254,0.0,0.0,0.0,0.0,0.24814716062312145,0.22113809396699674,0.2337730044225025,0.2806995065811072,0.6086127719164294,0.0,0.0,0.0,0.0,0.0
45673952,0.0,0.0,0.0,0.0,0.1851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,0.0,1.158869374138595,0.013937558097357156,0.08294938049033944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07174965574042029,0.26238278578460206,0.0,0.0,0.0,0.0,0.1043728388078828,0.09146874406790333,0.4703909375424691,0.0035406017815923637,0.0,0.0,0.0,0.0,0.0,0.0
45967656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45967657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45980992,0.0,0.15432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45980993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46569388150819135,0.0,0.0,0.0,0.0,0.0,0.0724092239489838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007164659004272531,0.23317530629720337,0.10501210806692617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45994328,0.0,0.0,0.0,0.0,0.23148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005136368516573729,0.0,0.0,0.0,0.0,0.0,0.0,0.0971342652493498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04402042237260843,0.0,0.0,0.0,0.031101472310652554,0.02817929957062215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45994329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25026082181885895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10182193957698257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016559057398767115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46007655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
